problem,num_nodes,num_edges,traffic_seed,tm_model,scale_factor,num_commodities,total_demand,algo,split_method,split_fraction,num_subproblems,num_paths,edge_disjoint,dist_metric,objective,obj_val,runtime
GtsCe.graphml,149,386,1479688182,gravity,1.0,22052,501.4217529296875,pop,random,0,16,4,True,inv-cap,total_flow,501.42174941789744,0.008398056030273438
GtsCe.graphml,149,386,1479688182,gravity,1.0,22052,501.4217529296875,pop,random,0.25,16,4,True,inv-cap,total_flow,501.42174941789744,0.019397974014282227
GtsCe.graphml,149,386,1479688182,gravity,1.0,22052,501.4217529296875,pop,random,0.5,16,4,True,inv-cap,total_flow,501.42174941789744,0.020694971084594727
GtsCe.graphml,149,386,1479688182,gravity,1.0,22052,501.4217529296875,pop,random,0.75,16,4,True,inv-cap,total_flow,501.42174941789744,0.027108192443847656
GtsCe.graphml,149,386,1479688182,gravity,1.0,22052,501.4217529296875,pop,random,1.0,16,4,True,inv-cap,total_flow,501.42174941789744,0.020572900772094727
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,0,16,4,True,inv-cap,total_flow,14011.544047683168,0.08409404754638672
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,0.25,16,4,True,inv-cap,total_flow,14087.540996937701,0.08681607246398926
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,0.5,16,4,True,inv-cap,total_flow,14110.281193197705,0.12786602973937988
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,0.75,16,4,True,inv-cap,total_flow,14117.096938627772,0.12772178649902344
GtsCe.graphml,149,386,1192263082,gravity,32.0,22051,16053.5146484375,pop,random,1.0,16,4,True,inv-cap,total_flow,14118.13557429208,0.14281892776489258
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0,16,4,True,inv-cap,total_flow,1992.7869736058637,0.015014886856079102
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.25,16,4,True,inv-cap,total_flow,1992.7869736058637,0.02561783790588379
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.5,16,4,True,inv-cap,total_flow,1992.7869736058637,0.02196788787841797
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,0.75,16,4,True,inv-cap,total_flow,1992.7869736058637,0.01731085777282715
GtsCe.graphml,149,386,1088539607,gravity,4.0,22050,1992.7869873046875,pop,random,1.0,16,4,True,inv-cap,total_flow,1992.7869736058637,0.027128934860229492
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0,16,4,True,inv-cap,total_flow,1000.3094690794096,0.008261919021606445
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.25,16,4,True,inv-cap,total_flow,1000.3094690794096,0.01489400863647461
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.5,16,4,True,inv-cap,total_flow,1000.3094690794096,0.02030205726623535
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,0.75,16,4,True,inv-cap,total_flow,1000.3094690794096,0.015419960021972656
GtsCe.graphml,149,386,1283401444,gravity,2.0,22051,1000.3094482421875,pop,random,1.0,16,4,True,inv-cap,total_flow,1000.3094690794096,0.030215024948120117
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0,16,4,True,inv-cap,total_flow,7992.431522491388,0.04687094688415527
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.25,16,4,True,inv-cap,total_flow,7992.431522491388,0.04058098793029785
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.5,16,4,True,inv-cap,total_flow,7992.431522491388,0.06850910186767578
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,0.75,16,4,True,inv-cap,total_flow,7992.431522491388,0.08141398429870605
GtsCe.graphml,149,386,1033617822,gravity,16.0,22051,7992.4306640625,pop,random,1.0,16,4,True,inv-cap,total_flow,7992.431522491388,0.0754690170288086
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0,16,4,True,inv-cap,total_flow,21921.137743221345,0.09129500389099121
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.25,16,4,True,inv-cap,total_flow,22048.753632059324,0.15227413177490234
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.5,16,4,True,inv-cap,total_flow,22049.362552223727,0.20497679710388184
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,0.75,16,4,True,inv-cap,total_flow,22101.49788474105,0.20705008506774902
GtsCe.graphml,149,386,1321948195,gravity,64.0,22052,31993.994140625,pop,random,1.0,16,4,True,inv-cap,total_flow,22112.666501933716,0.23264598846435547
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.013947010040283203
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.25,16,4,True,inv-cap,total_flow,4016.5254356889054,0.019893884658813477
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.5,16,4,True,inv-cap,total_flow,4016.5254356889054,0.02866196632385254
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,0.75,16,4,True,inv-cap,total_flow,4016.5254356889054,0.021543025970458984
GtsCe.graphml,149,386,1956926541,gravity,8.0,22052,4016.525390625,pop,random,1.0,16,4,True,inv-cap,total_flow,4016.5254356889054,0.029466867446899414
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0,16,4,True,inv-cap,total_flow,32812.35513226688,0.15327095985412598
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.25,16,4,True,inv-cap,total_flow,32982.18799687921,0.14033794403076172
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.5,16,4,True,inv-cap,total_flow,32965.38756556809,0.18529987335205078
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,0.75,16,4,True,inv-cap,total_flow,32992.212617173784,0.21741199493408203
GtsCe.graphml,149,386,12734199,gravity,128.0,22052,63883.66015625,pop,random,1.0,16,4,True,inv-cap,total_flow,33080.99395312367,0.27643513679504395
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0,16,4,True,inv-cap,total_flow,60752.69742961091,0.017512083053588867
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.25,16,4,True,inv-cap,total_flow,161698.83108788886,0.048284053802490234
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.5,16,4,True,inv-cap,total_flow,167240.6216817654,0.03294682502746582
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,0.75,16,4,True,inv-cap,total_flow,169448.88544525168,0.03684711456298828
GtsCe.graphml,149,386,1172507251,poisson,8.0,11194,169785.96875,pop,random,1.0,16,4,True,inv-cap,total_flow,169515.03012773726,0.06612396240234375
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0,16,4,True,inv-cap,total_flow,49193.62468122628,0.012670040130615234
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.25,16,4,True,inv-cap,total_flow,84891.29875185431,0.03788900375366211
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.5,16,4,True,inv-cap,total_flow,84891.29875185431,0.022385120391845703
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,0.75,16,4,True,inv-cap,total_flow,84891.29875376166,0.02149820327758789
GtsCe.graphml,149,386,1061024865,poisson,4.0,11165,84891.296875,pop,random,1.0,16,4,True,inv-cap,total_flow,84891.29875328482,0.039359092712402344
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0,16,4,True,inv-cap,total_flow,71146.32241108004,0.01926708221435547
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.25,16,4,True,inv-cap,total_flow,212712.75015941414,0.01712203025817871
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.5,16,4,True,inv-cap,total_flow,289966.4553203845,0.03262519836425781
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,0.75,16,4,True,inv-cap,total_flow,301508.5153536721,0.029623031616210938
GtsCe.graphml,149,386,1002931420,poisson,16.0,11181,339569.4375,pop,random,1.0,16,4,True,inv-cap,total_flow,301724.45959378657,0.032058000564575195
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0,16,4,True,inv-cap,total_flow,89183.4634286511,0.017335891723632812
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.25,16,4,True,inv-cap,total_flow,219699.18232336268,0.010017156600952148
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.5,16,4,True,inv-cap,total_flow,373187.5,0.009659051895141602
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.0099639892578125
GtsCe.graphml,149,386,1050547667,poisson,128.0,11163,2716505.0,pop,random,1.0,16,4,True,inv-cap,total_flow,386000.0,0.01668405532836914
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0,16,4,True,inv-cap,total_flow,21222.843136713633,0.007673025131225586
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.25,16,4,True,inv-cap,total_flow,21222.843136713633,0.0101470947265625
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.5,16,4,True,inv-cap,total_flow,21222.843136713633,0.00587916374206543
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,0.75,16,4,True,inv-cap,total_flow,21222.843136475214,0.005981922149658203
GtsCe.graphml,149,386,1238195151,poisson,1.0,11163,21222.84375,pop,random,1.0,16,4,True,inv-cap,total_flow,21222.843136594423,0.008018016815185547
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0,16,4,True,inv-cap,total_flow,81682.64912986895,0.018667221069335938
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.25,16,4,True,inv-cap,total_flow,218187.4990844844,0.01780104637145996
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.5,16,4,True,inv-cap,total_flow,372875.0,0.01781296730041504
GtsCe.graphml,149,386,1137569267,poisson,64.0,11160,1358243.25,pop,random,0.75,16,4,True,inv-cap,total_flow,386000.0,0.010425090789794922
